,,,,,,,,Unnamed: 0,date,review,rating,isEdited,title,userName
1121,2019-07-07 12:36:12,아이폰 유저라 정방형으로 사진 찍어서 배경사진 많이 바꾸는데 이번 업데이트하고 배사 바꾸면 다 확대되서 나오니까 그냥 별로에요 진짜 전으로 다시 되돌릴 수도 없고 카톡보다 이제 더 많이 페메를 쓰게 되네요;;,1.0,False,진짜 사용하기가 싫어지네요,suyeonzzi,,,,,,,,
1122,2019-06-04 16:03:02,카카오톡이 채팅방 목록 상단에 광고 넣을 정도로 돈이 읎나요? 친구목록,, 채팅방목록 탭 제외하고 뒤에 얼마든지 광고 때려 넣을 수 있는 곳 많잖아요. 업뎃 리스트엔 안정성과 편리한 기능만 추가한 것처럼 적어놓고 광고 넣었다곤 기재 안하는 것도 황당! 카톡 업뎃 중에 이처럼 실망한 적이 처음이네요🤬,1,False,실망 of 실망.,HJ_June8,,,,,,
1123,2019-05-29 03:11:22,저번 업데이트때부터 진동모드도 아닌데 알림음이 울렸다 안울렸다 하더니만.. 이번 업뎃했어도 똑같네요..? 카톡만 사용하는데.. 왜 점점 카톡은 발전이 아니고 사용드자를 더 불편하게 하시는건가요.. 너무해요 개발자님들!!,1.0,False,알림음,바어어나맙,,,,,,,,
1124,2019-05-15 05:41:41,"채팅방있는곳에 왜 광고 넣어두심?
모든사람들이 라인쓴다면 지금당장 라인으로 갈아타고싶음;;; 해시테그판이랑 더보기칸에 광고도 많이넣으면서 왜 채팅창에도 넣으세요 제발 빨리 빼주세요 진짜 개짜증나니까",1.0,False,아니쌍욕나오네,qxxp99,,,,,,,,
1125,2018-10-17 11:11:23,카톡 알람이 안울릴때가 많아요. 알람 없는 상태에서 카톡 들어가면 그제서야 밀린 알림이 진동울리면서 뜨던데 이거좀 고쳐주세요. 매일 이러는데,4.0,False,알람이 안울려요,끌껄,,,,,,,,
1126,2023-06-27 06:54:44,"움직이는 광고때문에 렉걸려요
광고 좀 적당히 했으면 좋겠음;
맨 처음엔 광고없이 하겠다면서 초심잃은 건 그렇다고 쳐도 움짤 광고때문에 사용자가 불편함을 느끼는 건 좀 지나치지 않은가요.",1.0,False,별 한 개도 아깝네요...,견우비,,,,,,,,
1127,2021-09-12 11:23:23,조용히 프사 바꾸고 싶은 사람도 있을텐데 상단에 꼭 나 프로필 바꿨어요 광고하듯이 뜨게 만들어야 되나요? 원치 않는 사람도 있을텐데 어떤 사람 머리에서 나온 생각인지 이해가 안되네요 빨리 좀 바꿔주세요,1.0,False,프로필 업데이트한 친구 목록에 안뜨게 좀 해달라고요,일좀해라카카오,,,,,,,,
1128,2021-05-06 05:02:12,아니 어제 갑자기 점검하는 줄 모르고 카톡 친구한테 계속 보냈는데 안보내지는 거에요 그래서 제 폰이 이상하나 싶어서 카톡 지웠다 깔았는데 로그인 해야한다 해서 전번이랑 비번 했는데 또 문자로 인증번호 온다해서 계속 기다리고 있었는데 계속 안와요 뭐죠?,1.0,False,이거 뭐에요,하ㅏ하하흫ㅎ,,,,,,,,
1129,2021-04-26 14:51:07,"채팅창 글씨 쓸때 글씨가 너무 작고 안보여요
업데이트를 하실거면 제대로 해놓지 왜 가면 갈수록
필요없는 기능들도 많이 생기고 더 어려워 지는 거 일까요 이전 버전으로 돌려주세요",1.0,False,카톡 원래대로 돌려주세요ㅡㅡ,ehdlsms,,,,,,,,
1130,2021-03-21 14:15:03,제계정가지고 엄마폰으로 접속한번 한거가지고 정지를 때리는게 말이나 됩니까? 곧 카카오 고객센터 찾아가서 깽판을 쳐야 말을 들어줄겁니까? 전화도 다 막혀있고 이러면 뭐어쩌라는겁니까?,1.0,False,이딴쓰레기같은 앱이 한국대표 메신저라니,우장산4번출구,,,,,,,,
1131,2021-02-01 08:16:25,"고객이용해서 자기들 필요한건 다해먹고 
고객이 필요할때 뭐 서비스라곤 기다림뿐이고
우리가필요한것들은 뭐 아무것도 아니니? 
이해가안되내 니네들이 만들었는데 왜 도움을 줄수없다는건지 왜 답답하게 전화문의는 없는거임 ?
대단하다 이기적인 카카오톡",1.0,False,별하나도 아깝다,sibalida,,,,,,,,
1132,2021-01-22 21:52:23,"다 좋아요 
안드로이드처럼 듀얼 카톡 가능하도록 힘써주세요ㅠㅠ
폰 두개 들고다니기 너무 힘듭니다..",5.0,False,듀얼 카톡,뭔닉네임이다사용중;,,,,,,,,
1133,2020-10-17 10:21:24,"카카오톡 너무너무 좋은데요
채팅창에 광고가 너무 많이떠요...
이거 좀 적당히 뜨게하거나 안뜨게 할순없나요 ㅜㅜ
세상 불편...광고 좀 안뜨게 해주시던가 좀 조치를 해주세요
꺼도 또 다른광고 다른광고 지겨워죽겠어요",2.0,False,카카오톡 광고,tstx87@@@,,,,,,,,
1134,2020-10-07 11:36:22,안녕하세요 ios14 업데이트 이후에 프로필이나 상태메시지를 바꾸고 홈에 들어가서 지울려고 하면 튕기네요 계속...이 점 고쳐주세요...,2.0,False,고쳐주세요..,🇰🇷❤️😍💋,,,,,,,,
1135,2020-09-07 14:53:16,"개인용을 업무용도 같이 사용하려면 불편합니다
왓츠앱처럼 동일한 어플이지만 비지니스용으로도 사용할수있게 설치할수있게 해주세요 언제까지 1폰 1카톡 고집하실겁니까 안된다고 하면 업무용으로는 정말 꽝이네요",1.0,False,업무용으로도 설치할수 있게해주세요,괴도어쩔,,,,,,,,
1136,2019-02-12 21:34:14,"기존 사용하던 알림음들을 없애버리시니 
넘 슬프네요...
이런줄 알았으면 없뎃 안했을거예요ㅠㅜ",4.0,False,기존 알림음 돌려주세요..,sso0,,,,,,,,
1137,2019-07-02 15:57:38,진짜 프로필 업데이트된거 어떻게 돌려주세요 제발 진짜 그전에 화면비율1:1로맞추는 재미도있었고 그런데 이건 뭐 전화번호도 안뜨고 뭐하는짓인가요....? 제발 돌려주세요ㅠㅠ 전버전으로 선택할수있는 선택권이라도 주세요 제발,1.0,False,진짜 별 반개주기도 아까운 업데이트,Lgb0523,,,,,,,,
1138,2019-05-29 02:00:15,"업뎃 이후로 또다시 카톡이 안오기시작하며 .
앱을 실행시키면 한꺼번에 카톡이옵니다 .
이미 어느회사건 업무지시라던가 기타사항을 카톡으로 전달하는 경우가 많은데 카톡이 안오니 욕만 듣게되는 상황이 많아지네요",1.0,False,광고는 많아지면서 왜 성능은 떨어지나요,테즈쿤,,,,,,,,
1139,2019-01-20 05:05:32,묶어보내기 누르면 맨 끝 사진보려고 앞의 29장을 손으로 일일이 넘기는 것도 불편하구요 묶어보내기는 오른쪽으로 넘겨야 다음 사진이 보이고 묶어보내기 아닌 사진들은 왼쪽으로 넘겨야하네요? 구분하려고 이렇게 만드신건가요? 업데이트 하는 건 사용자 배려 위해서 아닌가요? 사용자로서 말하면 배려가 전혀 느껴지지 않아요 원래대로 바꿔주세요.,1.0,False,사진 넘기는 기능,넷성,,,,,,,,
1140,2018-10-23 11:50:26,차단은 안하고싶은데 특정인 한테만 제 프로필 사진 못보게 하고싶어요! 만들어주세요 ㅠㅠ 프로필사진 나만보기 같은 모두에게 비공개되는 기능말고 차단처럼 특정인한테만 내 프로필사진 일부 볼 수 없게??,3.0,False,차단하지않고 프로필비공개만 하는 기능,후타타비,,,,,,,,
1141,2021-04-11 13:37:13,꽤 오래전부터 프로필 사진을 동영상으로 설정하려고 하면 동영상변환에 실패했다는 오류메시지가 나옵니다 ㅜㅜ 왜 그럴까요.....ㅜㅜ,3.0,False,동영상변환 실패,Hailey_J,,,,,,,,
1142,2018-08-29 15:10:06,카톡 알람이 뜰때 단톡방 내에서 톡이오면 그냥 작성자 이름만 뜨는게 아니라 그 해당 단톡방 이름까지 같이 떴으면 좋겠어요~!,5.0,False,미리보기에 단톡방이름,ajeff2455,,,,,,,,
1143,2023-08-15 15:55:36,"다른건 그렇다 쳐도 내프로필에 광고 뜨는건 아닌 것 같아요 
설정탭 만들어서 영구적인 숨김기능을 추가하던지 아예 없애주세요
채팅 창 목록 상단에 있는 광고도 거슬렸는데 메인 프로필 화면에 광고는 정말 아닌 것 같아요.",1.0,False,광고 좀 없애주세요!,광고싫어요!,,,,,,,,
1144,2021-12-25 15:40:28,와 아니 진짜 중요한내용 엄청 많은방이 두개정도 있었는데 지웠다 깔으라고 해서 지웠다 깔았더니 다 사라졌어요 대화 복원해봐도 안돼고요 진짜 뭐하자는거에요 .. 내가 일부러 없앤거 아니면 걍 냅두세요.. 제발 개중요한 내용이였는데,,,,,1,False,와…,ㅆ불,,,,
1145,2021-08-23 07:37:43,뉴스에 깨문이들이 거짓정보 도배했는데 없에버린거 잘한듯,5.0,False,이번 업데이트 너무 좋아요,갸갸야양,,,,,,,,
1146,2021-08-22 01:38:36,뷰? 관심도 없는거 자꾸 추천해주는거 정말 불편해요. 채널 억지로 추가하게 만드려고 업데이트 했나본데 채널 추가해서 또 불필요한 알람 받느니 그냥 뉴스같은건 네이버앱 들어가서 편하게 보겠습니다.,1.0,False,뉴스는 네이버앱 가서 볼게요,말히짱,,,,,,,,
1147,2021-08-20 10:33:07,"카카오 뷰 너무 불편합니다 ㅠ 이전에는 뉴스기사 보기도 편하고 쇼핑,, fun,, 카카오티비 다 나눠져있어서 보기편했는데.... 지금은 보기도 불편하고,, 뉴스도 어디갔는지 모르겠고,, 기사하나 클릭하면 창이 켜져서 거기서봐야하네요..
ㅠㅠ",1.0,False,이번 업데이트.. 너무 별로에요,바닐라라라,,,,,,,,
1148,2021-08-15 16:27:57,뷰니 공감이니 그딴거 왜 만들어요 진짜;; 일대일로 대화하는데 슬퍼요 최고예요 같은 게 무슨;;; 카톡 초심 제대로 잃었네요 ㅠ 제발 원래대로 돌려놔요 프로필 업데이트한 건 왜 뜨게 하나요 보고싶지도않은 사람들 뜨고 제 프로필 보여주고 싶지도 않아요;;,1.0,False,애휴 ㅜ,ꔛ,,,,,,,,
1149,2021-04-15 10:58:10,업뎃하고 글씨크기 너무 작아졌어요 채팅방이랑 따로 설정할수 있게해주던가 제발 예전으로 돌려주세요 원래 채팅방 글씨 작게해서 쓰는데 그럼 입력창에서 코딱지만해요 ㅡㅡ제발 빨리 원래대로 돌려주세요,1.0,False,제발 글씨크기좀,seoyy2,,,,,,,,
1150,2021-02-15 04:50:32,실험실보면 오픈채팅 분리할 수 있는 것처럼 채널 메세지들도 분리가능하게 좀 해주세요,5.0,False,채널 메세지 분리 좀 해주세요,광대역 엘티이,,,,,,,,
1151,2021-01-28 19:17:51,멀티프로필을 왜 만들어요 대체... 카톡 너무 잘 쓰고 지금은 그냥 문자보다 다들 카톡을 쓰죠 보편적이게 됐죠 근데 대체 왜 카톡에서 그딴 기능을 만드나요 제발 하지마세요 진짜 그런 걸 왜 만들어요 지금 이대로 충분해요 뭔 멀티프로필이에요.. 제발 하지마세요 간곡히 부탁드립니다,4.0,False,제말좀들어보세요,뵹맛데레,,,,,,,,
1152,2020-01-09 07:17:56,백그라운드에 카톡을 실행하고 다른앱을 보고있으면 카톡은 왔는데 알림이 안떠요. 맨날 10분씩 늦게 답장하고 그럽니다. 개선해주세요. 아이폰 X 최신 OS입니다.,1.0,False,요즘 알림문제가 많습니다.,Sunkyum_Kim,,,,,,,,
1153,2019-10-06 05:57:55,글씨체가 더 다양해져서 좋네요 저만 이제알았나요..? 깔끔한 체들이 있어서 좋아요 :) 그리고 상단바에 광고보고 놀랐어요 방탄나와서 ! 평소 좋아하는 아이돌 나오니까 신기하네용ㅋㅋㅋ 립스틱 광고도 보고 뽐뿌와서 질러버림.. 카카오 돈 많이버세요,5.0,False,글씨체 업뎃 후 더 좋아졌어요,불만불만ㅠ,,,,,,,,
1154,2019-05-12 01:48:51,"베타기간이라서 30프로 이용자에게 먼저 이용해보게한다고 하루에 한번정도만 나오던게 이제는 수시로 나옵니다
 아주 귀찮고 보기싫습니다
 광고에 눈이 가는게 아니라 그냥 기분나빠서 바로 삭제해버리니까 광고효과 1도 없고 더 안좋은효과만 생기는게 아닌가 싶어요",1.0,False,배너광고 없애라,sowalnut,,,,,,,,
1155,2018-11-07 14:27:41,"업무상 톡을 계속 확인해야 하는 경우도 있지만,, 확인하지 않아도 되는 톡들이 수시로 올라오는 톡방도 있습니다. 알림을 꺼 두어도 숫자는 다른 톡들과 함께 카운트가 되어 정작 중요한 톡을 못 보거나,, 일부러
한번씩 톡방을 다녀와야하는 경우가 종종 있습니다.
알림을 끈 톡방의 카운트는 톡방 이름 옆에만 뜨고,, 전체 숫자는 알림을 받는 톡방만 합산되면 좋겠습니다.",1.0,False,알림을 끈 톡방은 카운트도 안 뜨게 해 주세요.,알림피곤,,,,,,,,
1156,2018-10-04 16:29:48,"업데이트하고 기존에있던 기본이모티콘 두개를
못쓰게 되었습니다. 아무리 시간이 지났더라도
그 두개의 이모티콘은 카카오톡의 역사라고 생각해요. 다시 쓰고싶습니다. 돌려주세요 제발 ㅠㅠ",2.0,False,기존 기본 이모티콘,여일기장,,,,,,,,
1157,2018-09-13 10:12:52,"카카오체널 부분에 검색기능
왜 스크롤 조금만 내리면 검색기능 작아지고 맨 처음은 검색기능이 조금 커져있는데 손이 작은 여자는 스크롤을 내리기 전에 그 검색창을 건들어버려 검색이 활성화 됩니다.. 
필요하면 알아서 검색창 쓸테니 스크롤 내리기 전에도 검색창 좀 작아져있게 해주세요..; 
밑에 뜨는 #의 이슈들 궁금하지 않다고",1.0,False,이번 새로 업글된거,라이누나,,,,,,,,
1158,2023-05-14 06:14:35,"폰 바꿔서 인증번호 문자로 보내니까
아예 안 보내집니다ㅜ 전화도 아예 안 오네요
물론 다른 사람들이랑도 문자 전화 다 돼요
결국 24시간동안 벽돌이 되어버린 제 폰..",2.0,False,문자 전화 외않되?,초등학교 4학년 학생:),,,,,,,,
1159,2021-06-24 12:30:47,카톡 열리는 시간이 너무 느려서 업데이트 했더니 너무 불편해요 예전에 my 탭만 열면 결제내역,, 선물 받은 것 등 전체적으로 볼 수 있었는데 도대체 선물도 못찾겠고 ... 열리는 시간도 여전히 너무 느려요,1,False,업데이트 후 너무 불편해요,포코**,,,,,,
1160,2022-05-04 20:44:15,업데이트한친구에 보여질지 말지 본인이 선택하게끔 기능추가해주셨으면 좋겠습니다..제발,3.0,False,업데이트한 친구..,cherrymarble,,,,,,,,
1161,2021-02-03 13:43:58,"도용/사칭/바람/사기 등
남용에 대한 우려가 기획단계에서 
나오지 않았을수가 없는데
도대체 누구 좋으라고 컨펌 내린건가요? 
사용자한테 물어보고 도입하던가요ㅠㅠㅠ 진짜 최악이에요.",1.0,False,멀티프로필 무슨 생각으로 기획하셨어요?,앙여니,,,,,,,,
1162,2020-11-17 17:24:45,잘 사용하고 있는데 프로필 뮤직 설정하려고 하니까 렉만 걸리고 자꾸 팅기고 설정이 안되네요,5.0,False,프로필 뮤직,dkksssu,,,,,,,,
1163,2020-10-20 07:10:08,"얼마전부터 카카오톡 입력창 혹은 대화목록에서 프리징 하루에 한두번꼴로 납니다.
쓸데없는 카카오tv pip 이런거 개발하기 이전에 메세징 자체에 제발 신경 더 써주셨으면 좋겠네요",1.0,False,ios 카톡 프리징 왜이렇게 심하죠,어어뉴톁주,,,,,,,,
1164,2020-06-22 22:40:24,"채팅방에 제가 쓰지도 않은 내용이 있어요
심지어 시간 보니까 전 그 때 폰을 안하고 있었어요 왜 이래요..? ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ",5.0,False,무서워요...,가군누,,,,,,,,
1165,2020-04-30 22:45:41,내가 친구로 등록하지 않은 사람한테 내 프로필 볼수없게 하는 비공개 기능 추가해주세요.,5.0,False,프로필 비공개 기능 추가해주세요,사료맛캔다,,,,,,,,
1166,2019-09-21 02:31:59,보이스톡 할 때요 잠금버튼을 누르면 전화가 끈기는 데요 이거 설정으로 만질수도 없고 너무 불편하네요 빠른 개선 부탁부탁드립니다 제발요 ㅠ,2.0,False,보이스톡시 잠금저튼 누르면 전화끈김,곰가츤,,,,,,,,
1167,2019-09-03 08:23:54,진짜 구리고 이상합니다 디자인 보는 눈이 그렇게 없으신가 ㅜ 이전 버전 디자인으로 바꿔 주세요 진짜 카톡하기 싫어집니다... 논란이 일어나면 좀 빠르게 피드백할 생각을 하셔야지 나몰라라 하고 있네,1.0,False,디자인 바뀐 거 완전 별로,몬모네주인,,,,,,,,
1168,2019-07-11 22:40:47,프로필 원래대로 돌려 놓으세요. 진짜 불편하고 거지같고 싫어요. 너무 별로에요.,5.0,False,진짜 장난 하나,맹수연,,,,,,,,
1169,2019-02-09 14:23:49,너무 지겨워요ㅠ 이모티콘 처럼 구매해서 쓸 수 있게라도 해주세여ㅜㅠ,4.0,False,폰트 차라리 돈주고 살수있게 만들어주세요...ㅠㅠ,포온뜨,,,,,,,,
1170,2019-01-02 10:22:00,다음 사진을 보려면 왜 이전 8.1.7 버전과는 다른 반대 방향으로 사진을 넘겨야 하는거죠? 카카오톡의 오랜 사용자로서 왜 이렇게 바꿨는지 이해가 안갑니다. 갤러리 같은 곳에서 일반적으로 사진을 볼 때와 왜 반대방향으로 사진을 넘겨야 하는 것인지 ,,,, 참 불편하네요,1,False,사진 슬라이드 순서 변경,kkang3408,,,,
1171,2023-09-22 08:54:19,카톡방이 많아지면서 방 찾는게 힘들어요. 쉽게 찾을 수 있도록 폴더로 묶을 수 있는 기능이 있으면 좋을 것 같아요.,4.0,False,카톡방 분리,이수숫하,,,,,,,,
1172,2023-01-25 13:19:53,백그라운드에서 앱 활성화 할때마다 프리징이 심하네요.. 대화방 리스트 화면에서 상단 광고 못 불러올때 자주 발생하는것 같아요. 아이폰 12프로 16.2에요,2.0,False,앱 프리징,ypepper,,,,,,,,
1173,2021-07-09 17:55:09,카카오톡에서 이용할 수 있는 기능(ex.카카오페이,,지갑)은 모두 살린채로,, 탈퇴한 것 처럼 메세지도 못 보내게 로그아웃 기능을 만들어 주세요,2,False,제대로 된 로그아웃 기능을 만들어 주세요,게임스테이지업데이트,,,,
1174,2021-12-24 07:03:54,눈오는 배경 너무 예뻐요!! 그 그라데이션 색도 화면 색상에 추가해주실 수 있나요?,5.0,False,눈,cyjmsh,,,,,,,,
1175,2021-11-19 22:21:29,어떤 이유에서인지는 모르겠지만 알림이 거의 안 뜹니다. 업무가 정말 많은데 대부분 카톡으로 공지나 안내사항을 전달받기 때문에 애로사항이 너무 많네요. 개선 부탁드려요.,1.0,False,알림이 안 뜨네요,cel_nnn,,,,,,,,
1176,2021-03-27 06:03:18,"이번에 업뎃하고 하단에 쇼핑 탭이 생겼는데,, 그걸 굳이 만드신 이유가 무었인지.. 더보기 탭에서 쇼핑과 선물하기 등 다 볼 수 있는데 굳이 왜..; 복잡스럽게..
그냥 다시 원래대로 해주시면 안되나요?",1.0,False,수정요청,실투더망,,,,,,,,
1177,2020-07-24 12:48:54,"직장상사 친척 아주 죽겠습니다 
아니 거기 직원들은 이런걸로 스트레스 안받습니까
이게 어려운기능도 아니고 좀 만들어주세요 
너무 스트레스입니다 쓸데없는 게임별 따위 말고",1.0,False,차단친구 아니어도 프로필 비공개 할 수 있도록 좀 해주세요,비싼라임,,,,,,,,
1178,2020-07-24 02:44:09,상단에 광고는 너무 많이 보여주는데 이런거 싫어하는 사람들은 상당히 거슬림에도 돈은 벌어야 하니까.. 그게 싫으면 내가 쓰지 말아야 하나 예전 오로지 커뮤니케이션을 위한 앱이였던 시절이 그립다,1.0,False,커뮤니케이션 앱의 본질이 점점 상업화되가네,제이는 제이,,,,,,,,
1179,2020-05-23 09:42:18,아직 나오지는 않았지만 다음 업데이트 때 나온다는 말이 있던데 그 기능은 페메에서만 썼으면 하는데 굳이 가지고와서 카카오톡에 도입한다는게 좀 의아하고 그렇네요 커플도 그렇고 솔로여도 그렇고 피곤해지겠네요 업데이트 때 하지말아주셨으면 더 좋은 앱이 될 것 같아요,1.0,False,카카오톡에 페메처럼 활동중 뜨는 기능,앙ㄱㅎ띠,,,,,,,,
1180,2020-05-07 10:13:30,제가 운동선수인데 요즘 코로나때문에 개인운동을하는데 코치님께 피드백을 받아야하는데 알림이 울리지 않아서 피드백을 잘 못받고 혼나요ㅠㅠ 수정해주세요,3.0,False,알림이 안와요ㅠㅠ,플로건7,,,,,,,,
1181,2019-01-26 16:14:41,"사진넘기는방향 바뀐 거 짜증나요 ㅠㅠ 
그리고 배경사진 바꾸면 제발 크기 그대로 보이게 해주세요 예쁘게 잘라서 해놓으면 확대되고 ㅠㅠ 정말 별로예요",3.0,False,사진방향,았ㅈㄱ,,,,,,,,
1182,2020-01-07 18:00:39,알림이 안 와요 왜 안 오는 거지요? 앱 다시 깔고 껐다 켰다 다 했는데도 안 오네요 그러고 꼭 나중에 한꺼번에 오고 이게 뭐 하는 건지 모르겠거든요 연락하라고 있는 카톡인데 연락을 못 해요 연락이 오면 늦게 보려는 것도 아닌데 <<알림>>이 안 와서 일일이 들어가는 거 아니면 다 방치하고 있고 제대로 해 주세요 좀,1.0,False,알림 좀 똑바로 오게 해 주세요,ㅂㅅㄴㅊㅂㅎㅇ,,,,,,,,
1183,2019-11-08 17:09:08,"제발 아이폰 글씨체 좀 늘려주세요.. 
카카오톡 사랑합니다 ㅠㅠ",5.0,False,후,별명 왜 다 있어 씨,,,,,,,,
1184,2019-10-30 06:13:44,카톡 점점 기괴해지네요.. 솔직히 대체할 메신저가 없어서 쓰고는 있는데 마음 같아서는 탈퇴하고 싶어요 단톡 알림 다 꺼두고 이름으로 키워드 알림 해놨는데 그걸 없애면 어떡하나요 쓰잘데기 없는 기능 만들시간에 키워드 알림 다시 살려주세요 진짜 왜이러는거지 카카오,1.0,False,키워드 알림 돌려주세요,채형원,,,,,,,,
1185,2019-10-22 07:47:58,"채팅창 배경화면은 바꾸게 해주세요 
배경화면까지 시커먼스는 좀 그러네용",4.0,False,다크모드 지원 감사한데,소갠지스강,,,,,,,,
1186,2019-07-07 13:51:51,이번 업데이트 너무 불편합니다  저는 정사각형으로만 사진을 찍어서 배경사진을 해놓으면 사람 얼굴 다 나오고 딱 좋았는데 바뀐 업데이트로는 사람 얼굴 다 짤리고 화질 떨어지고 .. 상태메세지칸도 이상하고요 전체적으로 다 조잡하고 이상합니다 정말 불편해요 제발 이전으로 돌려주세요 제발요,1.0,False,업데이트 되돌려놓으세요 진짜,업데이트 돌려놔요 제발요제발,,,,,,,,
1187,2023-08-20 01:01:40,"카톡 프로필 창이 제일 위로 올라가고
바로 밑에 광고창이 생겼는데
순서 좀 바꿔주세요 제발 ..
업데이트 하고나니까 순서가 왜 이렇죠..",3.0,False,프로필 밑 광고 불편해요,돌려놔아아아,,,,,,,,
1188,2019-01-02 16:27:56,채팅방 리스트 관리하는사람은 필요할 것 같습니다ㅜㅜ 내 채팅방도 나갈 순 있게 해주세요ㅠㅠ,5.0,False,내 채팅방도 나갈 수 있게 해주세요ㅠㅠ,wnf88,,,,,,,,
1189,2023-09-01 03:30:48,이건 진짜 선넘은 거 같아요.. 아무리 광고비가 달달해도 그렇지 공적,, 사적인 프로필 밑에 대문짝만한 광고는 플랫폼의 질을 많이 떨어뜨린다고 봅니다. 카카오가 이런식으로 돈버는것이 마냥 달갑지만은 않네요,1,False,카톡 프로필 밑 광고,카카오톡 건의사항,,,,,,
1190,2023-08-19 16:33:17,멀티프로필 버튼이 너무 작아서 한 두 세번은 시도해야 겨우 들어가지는 거 같아요 ㅠㅠ,3.0,False,업뎃 이후 멀티프로필 접근,건강한 곰늑대,,,,,,,,
1191,2023-06-26 15:48:19,"뭐 인스타처럼 이것저것 투표라던지 기능이 막 추가되는데 너무 싫어요 그런거 하기 싫어서 카톡하는건데..
그냥 메세지 기능만 간단하게 됐으면 좋겠어요..",2.0,False,왜이래요,뭔별명들이 더 사용중이래,,,,,,,,
1192,2021-07-02 04:53:35,"이모티콘에 돈을 많이 썼는데 계정을 탈퇴하고 싶어요
필요없는 사람들이 너무 많아서 ..
계정탈퇴후에 새로 만들면 이모티콘이 날아간다해서 탈퇴도 못하고 있는데 본인이 현금으로 산 것 들은 남아 있으면 좋겠어요 ㅜ",2.0,False,탈퇴후 이모티콘,포오항항,,,,,,,,
1193,2023-05-14 00:25:20,다 좋지만,, 메시지를 모두에게서 삭제 할 때 삭제 된 메시지라는 문구가 안 떴으면 좋겠네요,5,False,삭제 된 메시지 안 뜨게 하기,젤동동이,,,,,,
1194,2022-12-09 05:09:00,필요없는 것에 목매지 않고 기본에 충실했으면 합니다 각자마다 특성이 있고 그래서 사용하는건데,, 왜 따라하려 하는지 의문이네요 렉은 잦아지고 이러다 언젠간 유저들 다 떠나겠습니다,1,False,인스타화,몽시리링,,,,,,
1195,2022-07-18 02:38:16,듀얼 e-sim 사용자를 위해 폰 하나에서 두개의 카톡을 사용했으면 좋겠어요,5.0,False,듀얼 e-sim 시용자,mcmoni Shin,,,,,,,,
1197,2021-09-04 16:23:06,"지금 너무 보기도어렵고 별루에요
예전버전으로 돌아가지도 못하고 
아이폰이라서 다운그레이드도 못하고 
이렇게 다들 안좋아하는데 왜아직도 피드백이없나요",1.0,False,제발 카톡# 뉴스 원래대로 돌려주세요,카카오뚜유,,,,,,,,
1198,2021-08-18 01:07:06,예전에 봤던 기사로 돌려주세요 뷰는 뭐 볼것도 없고 너무 불편해요,5.0,False,원래 있던 기사로 돌려주세요,짐사라빔,,,,,,,,
1199,2021-03-26 08:40:34,문의를 많은 사람이 넣어서 늦을 순 있다고 계속 생각했는데 늦어도 너무 늦네요 문의 확인을 좀 빨리 해주셨으면 합니다 심각한 내용에 빨리 회신해야하는 내용의 문의도 확인이 느리네요,2.0,False,문의 확인이 너무 느려요,뭐해 ㅠㅠㅠㅜㅠㅜㅠㅜ,,,,,,,,
1200,2019-12-15 18:42:41,키워드 알림 서비스 굉장히 유용하게 사용하던 아이폰 유저입니다 정작 필요한 서비스가 사라진 거 같아 너무 불편하네요,3.0,False,아이폰 키알 서비스 돌려주세요,😡ㅡㅅㅡ,,,,,,,,
1201,2021-03-21 23:30:15,"뉴스 같지 않은 뉴스,, 언론사 노출이 너무 거슬리는데 제가 설정할 수 있는 방법이 없나요?
카카오톡에서 간편하게 뉴스 보는 건 좋은데 노출순서나 필터링이 너무 일방적이어서 뉴스 목차 보다 보면 화가 납니다.",1.0,False,카카오뉴스 노출 기준 유저가 설정할 수 있게 해주세요,이미 있는 이름,,,,,,,,
1202,2021-01-28 11:01:28,"멀티 프로필 기능의 악용은 다 생각하시고 내시는 건가요? 좋은 점보단 안 좋은 점들이 훨씬 많다고 생각하는 기능인 거 같습니다. 사회에서 일어나는 여러 문제의 일들이 더 심해질 거 같다는 생각이 드네요. 
출시 안 했으면 좋겠습니다.",1.0,False,업데이트,업데이트 ㅗ,,,,,,,,
1203,2021-01-01 14:01:39,아기자기한 예쁘고 귀여운 손글씨체를 많이 원해요 자주 업데이트 해주세요,5.0,False,폰트 업뎃 자주 해주세요,고원이,,,,,,,,
1204,2020-09-24 13:22:06,업데이트 이후로 키보드가 채팅창을 가리네요. 입력창도 안 보이고 뭐 어쩌라는 건지 진짜 불편합니다. 껐다 켜도 그렇고 지웠다 깔았다 해도 그렇고 빠른 시일 내로 보완 해주세요.,2.0,False,키보드가 채팅창 가림,yjm_1003,,,,,,,,
1205,2023-05-21 15:17:28,대체 왜 카카오뷰가 더보기란으로 가고 오픈채팅방이 중앙에 뜨는거죠?세상불편해여 오픈채팅하지도 않는데 너무 쓸데없어요 카카오뷰가 세상일 돌아가는것도 알고해서 시간때우기용으로도 좋았는데 진짜 별로에요 진짜로 이거 기획한 사람진짜 잘라요,3.0,False,오픈채팅방,Lichunling0328@,,,,,,,,
1206,2019-12-10 15:17:29,카톡앱을 지웠다가 다시 깔았는데 개인톡에서도 말풍선 옆에 2가 붙고 제 프로필 들어가려 하면 자꾸 튕김현상이 발생하네요... 어떻게 해결해야할지 모르겠는데 도움 주시겠어요?,1.0,False,오류,시베리안 허스키😆😆,,,,,,,,
